item,color,match
apple,red,1
banana,yellow,1
carrot,orange,1
grape,purple,1
lemon,yellow,1
lime,green,1
orange,orange,1
strawberry,red,1
watermelon,green,0
blueberry,blue,1
broccoli,green,1
cherry,red,1
corn,yellow,1
cucumber,green,1
eggplant,purple,1
garlic,white,1
ginger,brown,1
kiwi,green,1
lettuce,green,1
mango,yellow,1
onion,white,1
peach,orange,1
pear,green,1
pepper,red,1
pineapple,yellow,1
potato,brown,1
pumpkin,orange,1
radish,red,1
raspberry,red,1
spinach,green,1
tomato,red,1
turnip,purple,1
watercress,green,1
yam,orange,1
avocado,green,1
blackberry,purple,1
cantaloupe,orange,1
coconut,brown,1
fig,purple,1
grapefruit,pink,1
honeydew,green,1
kumquat,orange,1
mushroom,brown,1
nectarine,orange,1
olive,green,1
peanut,brown,1
quince,yellow,1
tangerine,orange,1
apple,green,0
banana,red,0
carrot,pink,0
grape,yellow,0
lemon,purple,0
lime,orange,0
orange,blue,0
strawberry,yellow,0
watermelon,red,1
blueberry,orange,0
broccoli,red,0
cherry,green,0
corn,blue,0
cucumber,purple,0
eggplant,yellow,0
garlic,green,0
ginger,red,0
kiwi,brown,0
lettuce,pink,0
mango,blue,0
onion,yellow,0
peach,green,0
pear,red,0
pepper,yellow,0
pineapple,blue,0
potato,pink,0
pumpkin,green,0
radish,brown,0
raspberry,orange,0
spinach,red,0
tomato,green,0
turnip,yellow,0
watercress,pink,0
yam,green,0
avocado,purple,0
blackberry,green,0
cantaloupe,purple,0
coconut,green,0
fig,green,0
grapefruit,green,0
honeydew,pink,0
kumquat,green,0
mushroom,pink,0
nectarine,green,0
olive,red,0
peanut,green,0
quince,green,0
tangerine,green,0